Catalogo: ACTIVIDAD_ECONOMICA
Clave Institución	Clave Registro	Descripción		
11111	11111	Cultivo de soya
11112	11112	Cultivo de semillas oleaginosas, excepto soya
11113	11113	Cultivo de leguminosas
11114	11114	Cultivo de trigo
11115	11115	Cultivo de maiz
11116	11116	Cultivo de arroz
11119	11119	Cultivo de otros cereales
11121	11121	Cultivo de hortalizas
11131	11131	Cultivo de naranja
11132	11132	Cultivo de otros citricos
11133	11133	Cultivo de frutales no citricos y de nueces
11141	11141	Cultivo de productos alimenticios en invernaderos y otras estructuras agricolas protegidas
11142	11142	Floricultura, y otros cultivos de productos no alimenticios en invernaderos y otras estructuras agricolas protegidas
11191	11191	Cultivo de tabaco
11192	11192	Cultivo de algodon
11193	11193	Cultivo de caña de azucar
11194	11194	Cultivo de alfalfa y pastos
11199	11199	Otros cultivos
11211	11211	Explotacion de bovinos para la produccion de carne
11212	11212	Explotacion de bovinos para la produccion de leche
11213	11213	Explotacion de bovinos sin especializacion y para otros propositos
11221	11221	Explotacion de porcinos
11231	11231	Explotacion de gallinas para la produccion de huevo
11232	11232	Explotacion de pollos para la produccion de carne
11233	11233	Explotacion de guajolotes o pavos
11234	11234	Produccion de aves en incubadora
11239	11239	Explotacion de otras aves para produccion de carne y huevo
11241	11241	Explotacion de ovinos
11242	11242	Explotacion de caprinos
11251	11251	Acuicultura
11291	11291	Apicultura
11292	11292	Explotacion de equidos
11293	11293	Cunicultura y explotacion de animales con pelaje fino
11299	11299	Explotacion de otros animales
11311	11311	Silvicultura
11321	11321	Viveros forestales y recoleccion de productos forestales
11331	11331	Tala de arboles
11411	11411	Pesca
11421	11421	Caza y captura
11511	11511	Servicios relacionados con la agricultura
11521	11521	Servicios relacionados con la cria y explotacion de animales
11531	11531	Servicios relacionados con el aprovechamiento forestal
21111	21111	Extraccion de petroleo y gas
21211	21211	Mineria de carbon mineral
21221	21221	Mineria de hierro
21222	21222	Mineria de oro y plata
21223	21223	Mineria de cobre, plomo y zinc
21229	21229	Mineria de otros minerales metalicos
21231	21231	Mineria de piedra caliza, marmol y otras piedras dimensionadas
21232	21232	Mineria de arena, grava, tezontle, tepetate, arcillas y de otros minerales refractarios
21239	21239	Mineria de otros minerales no metalicos
21311	21311	Servicios relacionados con la mineria
22111	22111	Generacion de energia electrica
22112	22112	Transmision, distribucion y comercializacion de energia electrica
22121	22121	Suministro de gas natural por ductos al consumidor final
22131	22131	Captacion, tratamiento y suministro de agua
23611	23611	Edificacion residencial
23621	23621	Edificacion de naves y plantas industriales
23622	23622	Edificacion de inmuebles comerciales y de servicios
23711	23711	Construccion de obras para el tratamiento, distribucion y suministro de agua, drenaje y riego
23712	23712	Construccion de obras para petroleo y gas
23713	23713	Construccion de obras de generacion y conduccion de energia electrica y de obras para telecomunicaciones
23721	23721	Division de terrenos y construccion de obras de urbanizacion
23731	23731	Construccion de vias de comunicacion
23799	23799	Otras construcciones de ingenieria civil
23811	23811	Trabajos de cimentaciones
23812	23812	Montaje de estructuras prefabricadas
23813	23813	Trabajos de albañileria
23819	23819	Otros trabajos en exteriores
23821	23821	Instalaciones electricas en construcciones
23822	23822	Instalaciones hidrosanitarias, de gas, sistemas centrales de aire acondicionado y calefaccion
23829	23829	Otras instalaciones y equipamiento en construcciones
23831	23831	Colocacion de muros falsos, aislamiento y enyesado
23832	23832	Trabajos de pintura y otros cubrimientos de paredes
23833	23833	Colocacion de pisos flexibles y de madera
23834	23834	Colocacion de pisos ceramicos y azulejos
23835	23835	Realizacion de trabajos de carpinteria en el lugar de la construccion
23839	23839	Otros trabajos de acabados en edificaciones
23891	23891	Preparacion de terrenos para la construccion
23899	23899	Otros trabajos especializados para la construccion
31111	31111	Elaboracion de alimentos para animales
31121	31121	Beneficio del arroz, elaboracion de productos de molineria, y de malta
31122	31122	Elaboracion de almidones, aceites y grasas vegetales comestibles
31123	31123	Elaboracion de cereales para el desayuno
31131	31131	Elaboracion de azucares
31134	31134	Elaboracion de dulces, chicles y productos de confiteria que no sean de chocolate
31135	31135	Elaboracion de chocolate y productos de chocolate
31141	31141	Congelacion de frutas, verduras, guisos y otros alimentos preparados
31142	31142	Conservacion de frutas, verduras, guisos y otros alimentos preparados por procesos distintos a la congelacion
31151	31151	Elaboracion de leche y derivados lacteos
31152	31152	Elaboracion de helados y paletas
31161	31161	Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles
31171	31171	Preparacion y envasado de pescados y mariscos
31181	31181	Elaboracion de pan y otros productos de panaderia
31182	31182	Elaboracion de galletas y pastas para sopa
31183	31183	Elaboracion de tortillas de maiz y molienda de nixtamal
31191	31191	Elaboracion de botanas
31192	31192	Industrias del cafe y del te
31193	31193	Elaboracion de concentrados, polvos, jarabes y esencias de sabor para bebidas
31194	31194	Elaboracion de condimentos y aderezos
31199	31199	Elaboracion de otros alimentos
31211	31211	Elaboracion de refrescos, hielo y otras bebidas no alcoholicas, y purificacion y embotellado de agua
31212	31212	Elaboracion de cerveza
31213	31213	Elaboracion de bebidas alcoholicas a base de uva y bebidas fermentadas, excepto cerveza
