Catalogo: Nacionalidades
Clave Institución	Clave Registro	Descripción		
0	0	No Aplica
101	101	NAMIBIANA
103	103	ANGOLESA
104	104	ARGELIANA
105	105	DE BENNIN
106	106	BOTSWANESA
107	107	BURUNDESA
108	108	DE CABO VERDE
109	109	COMORENSE
110	110	CONGOLESA
111	111	MARFILEÑA
112	112	CHADIANA
113	113	DE DJIBOUTI
114	114	EGIPCIA
115	115	ETIOPE
116	116	GABONESA
117	117	GAMBIANA
118	118	GHANATA
119	119	GUINEA
120	120	GUINEA
121	121	GUINEA ECUATORIANA
122	122	LIBIA
123	123	KENIANA
124	124	LESOTHENSE
125	125	LIBERIANA
127	127	MALAWIANA
128	128	MALIENSE
129	129	MARROQUI
130	130	MAURICIANA
131	131	MAURITANA
132	132	MOZAMBIQUEÑA
133	133	NIGERINA
134	134	NIGERIANA
135	135	CENTRO AFRICANA
136	136	CAMERUNESA
137	137	TANZANIANA
139	139	RWANDESA
140	140	DEL SAHARA
141	141	DE SANTO TOME
142	142	SENEGALESA
143	143	DE SEYCHELLES
144	144	SIERRA LEONESA
145	145	SOMALI
146	146	SUDAFRICANA
147	147	SUDANESA
148	148	SWAZI
149	149	TOGOLESA
150	150	TUNECINA
151	151	UGANDESA
152	152	ZAIRANA
153	153	ZAMBIANA
154	154	DE ZIMBAWI
201	201	ARGENTINA
202	202	BAHAMEÑA
203	203	DE BARBADOS
204	204	BELICEÑA
205	205	BOLIVIANA
206	206	BRASILEÑA
207	207	CANADIENSE
208	208	COLOMBIANA
209	209	COSTARRICENSE
210	210	CUBANA
211	211	CHILENA
212	212	DOMINICA
214	214	SALVADOREÑA
215	215	ESTADOUNIDENSE
216	216	GRANADINA
217	217	GUATEMALTECA
218	218	BRITANICA
219	219	GUYANESA
220	220	HAITIANA
221	221	HONDUREÑA
222	222	JAMAIQUINA
223	223	MEXICANA
224	224	NICARAGUENSE
225	225	PANAMEÑA
226	226	PARAGUAYA
227	227	PERUANA
228	228	PUERTORRIQUEÑA
229	229	DOMINICANA
230	230	SANTA LUCIENSE
231	231	SURINAMENSE
232	232	TRINITARIA
233	233	URUGUAYA
234	234	VENEZOLANA
299	299	AMERICANA
301	301	AFGANA
303	303	DE BAHREIN
305	305	BHUTANESA
306	306	BIRMANA
307	307	NORCOREANA
308	308	SUDCOREANA
309	309	CHINA
310	310	CHIPRIOTA
311	311	ARABE
312	312	FILIPINA
313	313	HINDU
314	314	INDONESA
315	315	IRAQUI
316	316	IRANI
317	317	ISRAELI
318	318	JAPONESA
319	319	JORDANA
320	320	CAMBOYANA
321	321	KUWAITI
322	322	LIBANESA
323	323	MALASIA
324	324	MALDIVA
325	325	MONGOLESA
326	326	NEPALESA
327	327	OMANESA
328	328	PAKISTANI
329	329	DEL QATAR
330	330	SIRIA
331	331	LAOSIANA
332	332	SINGAPORENSE
334	334	TAILANDESA
335	335	TAIWANESA
336	336	TURCA
337	337	NORVIETNAMITA
339	339	YEMENI
401	401	ALBANESA
403	403	ALEMANA
404	404	ANDORRANA
405	405	AUSTRIACA
406	406	BELGA
407	407	BULGARA
408	408	CHECOSLOVACA
409	409	DANESA
410	410	VATICANA
411	411	ESPAÑOLA
412	412	FINLANDESA
413	413	FRANCESA
414	414	GRIEGA
415	415	HUNGARA
416	416	IRLANDESA
417	417	ISLANDESA
418	418	ITALIANA
419	419	LIECHTENSTENSE
420	420	LUXEMBURGUESA
421	421	MALTESA
422	422	MONEGASCA
423	423	NORUEGA
424	424	HOLANDESA
426	426	PORTUGUESA
427	427	BRITANICA
428	428	SOVIETICA BIELORRUSA
429	429	SOVIETICA UCRANIANA
430	430	RUMANA
431	431	SAN MARINENSE
432	432	SUECA
433	433	SUIZA
435	435	YUGOSLAVA
501	501	AUSTRALIANA
502	502	FIJIANA
503	503	SALOMONESA
504	504	NAURUANA
506	506	PAPUENSE
507	507	SAMOANA
667	667	ESLOVACA
609	609	BURKINA FASO
621	621	ESTONIA
624	624	MICRONECIA
625	625	REINO UNIDO(DEPEN. TET. BRIT.)
626	626	REINO UNIDO(BRIT. DEL EXT.)
627	627	REINO UNIDO(C. BRIT. DEL EXT.)
629	629	REINO UNIDO
642	642	KIRGUISTAN
645	645	LITUANIA
648	648	MOLDOVIA, REPUBLICA DE
650	650	MACEDONIA
668	668	ESLOVENIA
684	684	ESLOVAQUIA
