Catalogo: Catalogo_Cuenta_R04A
Clave Institución	Clave Registro	Descripción		
101800605021	101800605021	1. Para cobertura de riesgo sobre cartera de vivienda con riesgo de crédito etapa 3
101800605022	101800605022	2. Por sobretasa en bonos gubernamentales esquema de descuentos en los pagos oportunos y anticipados
101800605023	101800605023	3. Por riesgos operativos (sociedades de información crediticia)
101800605024	101800605024	4. Por intereses devengados sobre créditos con riesgo de crédito etapa 3
101800605025	101800605025	5. Ordenada por la comisión nacional bancaria y de valores
101800605026	101800605026	6. Reconocida por la comisión nacional bancaria y de valores
101801011110	101801011110	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/QUIROGRAFARIO/CC/
101801011120	101801011120	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/QUIROGRAFARIO/OTROS/
101801011210	101801011210	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/PRENDARIO/HAB Y AVIO/
101801011220	101801011220	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/PRENDARIO/REFACCIONARIO/
101801011230	101801011230	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/PRENDARIO/OTROS/
101801011310	101801011310	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/PUENTE/PUENTE VIV/
101801011320	101801011320	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/PUENTE/OTROS/
101801011400	101801011400	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/FACTORAJE/
101801011500	101801011500	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/ARREND/
101801011600	101801011600	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/GAR HIPOTECARIA/
101801011700	101801011700	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/PROYECTOS/
101801011800	101801011800	COMERCIAL/SIN RESTRICCION/EMPRESARIAL/OTROS/
101801012110	101801012110	COMERCIAL/SIN RESTRICCION/ENT FINANCIERA/INTERBANCARIOS/ARREND FINANC/BM
101801012120	101801012120	COMERCIAL/SIN RESTRICCION/ENT FINANCIERA/INTERBANCARIOS/PROYECTOS/BM
101801012130	101801012130	COMERCIAL/SIN RESTRICCION/ENT FINANCIERA/INTERBANCARIOS/OTROS/
101801012210	101801012210	COMERCIAL/SIN RESTRICCION/ENT FINANCIERA/NO BANCARIOS/ARREND FINANC/
101801012220	101801012220	COMERCIAL/SIN RESTRICCION/ENT FINANCIERA/NO BANCARIOS/PROYECTOS/
101801012230	101801012230	COMERCIAL/SIN RESTRICCION/ENT FINANCIERA/NO BANCARIOS/OTROS/
101801013100	101801013100	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/GOBIERNO FEDERAL/
101801013210	101801013210	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EYM/PROYECTOS/
101801013220	101801013220	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EYM/FACTORAJE/
101801013230	101801013230	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EYM/ARREND FINANC/
101801013240	101801013240	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EYM/FIDEICOMISOS/
101801013250	101801013250	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EYM/OTROS/
101801013310	101801013310	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EMP PROD ESTADO/PROYECTOS/
101801013320	101801013320	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EMP PROD ESTADO/FACTORAJE/
101801013330	101801013330	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EMP PROD ESTADO/ARREND FINANC/
101801013340	101801013340	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/EMP PROD ESTADO/OTROS/
101801013410	101801013410	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/ORG DESC/PROYECTOS/
101801013420	101801013420	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/ORG DESC/FACTORAJE/
101801013430	101801013430	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/ORG DESC/ARREND FINANC/
101801013440	101801013440	COMERCIAL/SIN RESTRICCION/GUBERNAMENTAL/ORG DESC/OTROS/
101801021110	101801021110	COMERCIAL/RESTRINGIDOS/EMPRESARIAL/QUIROGRAFARIO/CC/
101801021120	101801021120	COMERCIAL/RESTRINGIDOS/EMPRESARIAL/QUIROGRAFARIO/OTROS/
101801021210	101801021210	COMERCIAL/RESTRINGIDOS/EMPRESARIAL/PRENDARIO/HAB Y AVIO/
101801021220	101801021220	COMERCIAL/RESTRINGIDOS/EMPRESARIAL/PRENDARIO/REFACCIONARIO/
